"sim","group","run","subj","alpha_sub_gen","beta_sub_gen","ndt_sub_gen","delta_female_sub_gen","delta_male_sub_gen","alpha_sub_sim_mean","beta_sub_sim_mean","ndt_sub_sim_mean","delta_female_sub_sim_mean","delta_male_sub_sim_mean","alpha_sub_sim_hdi_lo","alpha_sub_sim_hdi_hi","beta_sub_sim_hdi_lo","beta_sub_sim_hdi_hi","ndt_sub_sim_hdi_lo","ndt_sub_sim_hdi_hi","delta_female_sub_sim_hdi_lo","delta_female_sub_sim_hdi_hi","delta_male_sub_sim_hdi_lo","delta_male_sub_sim_hdi_hi","alpha_recover","beta_recover","ndt_recover","delta_female_recover","delta_male_recover"
14,NA,2,38,1.97306289250078,0.510730293940472,0.2,2.24614710195208,-2.03950230578566,1.9489195875,0.5162277665,0.2,2.46189149747717,-2.25866139177473,1.76655,2.12659,0.468394,0.565707,0.2,0.2,2.03732808351106,2.88259590698764,-2.69945689199576,-1.81878071278085,1,1,NA,1,1
14,NA,2,39,2.12064124828437,0.507362962633152,0.2,2.11022566508213,-2.16679776905664,2.432383015,0.531843744,0.2,2.05298115242902,-2.44849547928796,2.20774,2.65724,0.476772,0.581584,0.2,0.2,1.64065751693957,2.451092637539,-2.87243702087561,-2.04371718957494,0,1,NA,1,1
14,NA,2,40,2.17066194169077,0.566469372117222,0.2,2.62015802244263,-2.66686912598494,2.2213728825,0.59430808675,0.2,2.5929166705999,-2.53678351625964,2.01143,2.42843,0.542841,0.638452,0.2,0.2,2.18516452568055,3.03423124948336,-2.93415609843632,-2.08792985163734,1,1,NA,1,1
14,NA,2,41,1.89356498582056,0.543623843654986,0.2,2.66977124147891,-2.96497023522695,1.9747136675,0.47668929825,0.2,2.85558415724109,-2.59628030291071,1.7943,2.16244,0.428459,0.519605,0.2,0.2,2.41780716139366,3.30273598591878,-3.03621162331042,-2.15242524447911,1,0,NA,1,1
14,NA,2,42,1.82795484275725,0.519582316114145,0.2,2.31413533769488,-1.71460057081546,2.1057549775,0.552456411,0.2,2.5242267140978,-1.99713975292963,1.91252,2.29661,0.501789,0.599973,0.2,0.2,2.08775836433898,2.91876637118132,-2.38853560228403,-1.60920263771506,0,1,NA,1,1
14,NA,2,43,1.97406412507996,0.56631479686551,0.2,2.30504459481999,-2.63263485715658,1.966650165,0.5718769995,0.2,2.49540179786338,-2.62964054913031,1.80108,2.14675,0.523899,0.618223,0.2,0.2,2.05661423610614,2.89419020095452,-3.04574198458255,-2.19202492421527,1,1,NA,1,1
14,NA,2,44,1.91071521726145,0.476082083583251,0.2,2.47025733834951,-2.34256767762,2.0792851575,0.48485491,0.2,2.60352701923016,-2.39611506489533,1.88678,2.26057,0.43933,0.534327,0.2,0.2,2.18182922390729,3.018676034361,-2.81506448145488,-1.97721675063004,1,1,NA,1,1
14,NA,2,45,2.40296318240136,0.472335545784825,0.2,2.33744615122759,-2.50939363605329,2.324027075,0.4564621895,0.2,2.43051356897777,-2.32592292344989,2.1202,2.54682,0.408972,0.507019,0.2,0.2,2.06050790169626,2.8311685056575,-2.7300539332873,-1.9243700595448,1,1,NA,1,1
14,NA,2,46,2.10502749558021,0.554880945665717,0.2,2.57009960889975,-2.38234444964003,2.1537723325,0.5458609135,0.2,2.70952625609339,-2.36038979045624,1.96225,2.35071,0.500052,0.593602,0.2,0.2,2.27889689026773,3.14983352744126,-2.73791612055866,-1.94306639212082,1,1,NA,1,1
14,NA,2,47,2.0472769672343,0.477061333042398,0.2,2.44749429133478,-2.63148824861699,2.2401911575,0.4915676905,0.2,2.54472476023638,-2.7419405284269,2.03001,2.44791,0.445583,0.539389,0.2,0.2,2.10325883543948,2.94658701491435,-3.16518840240002,-2.30502349966036,1,1,NA,1,1
14,NA,2,48,2.26812347227854,0.562696981935605,0.2,2.39569773189027,-2.25580727179826,2.3625299225,0.5431892855,0.2,2.56382327462017,-2.123183902383,2.15491,2.56605,0.492989,0.592431,0.2,0.2,2.14458082166338,2.97043972045135,-2.50954029305745,-1.76515158041022,1,1,NA,1,1
14,NA,2,49,2.03916718720497,0.528530134417682,0.2,2.57630652407217,-2.85246958861943,1.958466825,0.4903588635,0.2,2.68998646205866,-2.32865282186603,1.78384,2.14655,0.441981,0.536406,0.2,0.2,2.26713057294708,3.12479931106258,-2.73054219216243,-1.92198596334764,1,1,NA,1,0
14,NA,2,50,2.29098314657887,0.52628364531942,0.2,2.9225201208709,-2.37823615575492,2.2391259225,0.5302713795,0.2,2.67298658661528,-2.34162094116862,2.02521,2.43977,0.483451,0.580293,0.2,0.2,2.27074522247275,3.11983972049119,-2.73407879156807,-1.93155610330078,1,1,NA,1,1
14,NA,2,51,2.53580445280868,0.599621839046272,0.2,2.69326292160145,-2.49371773402687,2.3655266725,0.57032474525,0.2,2.60774090273675,-2.35083557643154,2.14061,2.57982,0.524939,0.620991,0.2,0.2,2.18660878158722,3.02506428011761,-2.7274157087791,-1.95354930776079,1,1,NA,1,1
14,NA,2,52,1.93225533026701,0.514578007235173,0.2,2.62108651214429,-2.23218939689757,2.0462825425,0.52147171425,0.2,2.64897643685986,-2.34850361836664,1.85738,2.23271,0.473452,0.567553,0.2,0.2,2.22502213912763,3.08103266357849,-2.74932806005859,-1.92367038690552,1,1,NA,1,1
14,NA,2,53,2.17913492941248,0.447283904470001,0.2,2.58317057344064,-1.90913160720554,2.0723524525,0.47575372675,0.2,2.67523303727749,-2.28824757594982,1.89591,2.27298,0.424518,0.520959,0.2,0.2,2.23469652057999,3.08130567548489,-2.69890110501716,-1.87812390486341,1,1,NA,1,1
14,NA,2,54,2.20870556044369,0.504441092333856,0.2,2.0616345165153,-2.59369945665976,2.385824755,0.50332342775,0.2,1.936603588002,-2.58794481568846,2.17436,2.60177,0.448541,0.551574,0.2,0.2,1.54974921649939,2.31130944087587,-3.01971702484522,-2.1796980906957,1,1,NA,1,1
14,NA,2,55,2.21650539565487,0.513623558750203,0.2,2.54963719088872,-1.84849289984229,2.31016318,0.517335372,0.2,2.63599261580278,-1.99096085219438,2.10342,2.51572,0.466706,0.564207,0.2,0.2,2.23023476449708,3.03466343421082,-2.36441479299015,-1.62031924903431,1,1,NA,1,1
