"sim","run","divergences","alpha_rhat1","beta_rhat1","ndt_rhat1","delta_female_rhat1","delta_male_rhat1","alpha_rhat2","beta_rhat2","ndt_rhat2","delta_female_rhat2","delta_male_rhat2","alpha_ess1","beta_ess1","ndt_ess1","delta_female_ess1","delta_male_ess1","alpha_ess2","beta_ess2","ndt_ess2","delta_female_ess2","delta_male_ess2","alpha_grp_gen1","beta_grp_gen1","ndt_grp_gen1","delta_female_grp_gen1","delta_male_grp_gen1","alpha_grp_gen2","beta_grp_gen2","ndt_grp_gen2","delta_female_grp_gen2","delta_male_grp_gen2","alpha_grp_sim_mean1","beta_grp_sim_mean1","ndt_grp_sim_mean1","delta_female_grp_sim_mean1","delta_male_grp_sim_mean1","alpha_grp_sim_mean2","beta_grp_sim_mean2","ndt_grp_sim_mean2","delta_female_grp_sim_mean2","delta_male_grp_sim_mean2","alpha_grp_sim_hdi_lo1","alpha_grp_sim_hdi_hi1","beta_grp_sim_hdi_lo1","beta_grp_sim_hdi_hi1","ndt_grp_sim_hdi_lo1","ndt_grp_sim_hdi_hi1","delta_female_grp_sim_hdi_lo1","delta_female_grp_sim_hdi_hi1","delta_male_grp_sim_hdi_lo1","delta_male_grp_sim_hdi_hi1","alpha_grp_sim_hdi_lo2","alpha_grp_sim_hdi_hi2","beta_grp_sim_hdi_lo2","beta_grp_sim_hdi_hi2","ndt_grp_sim_hdi_lo2","ndt_grp_sim_hdi_hi2","delta_female_grp_sim_hdi_lo2","delta_female_grp_sim_hdi_hi2","delta_male_grp_sim_hdi_lo2","delta_male_grp_sim_hdi_hi2","alpha_recover1","beta_recover1","ndt_recover1","delta_female_recover1","delta_male_recover1","alpha_recover2","beta_recover2","ndt_recover2","delta_female_recover2","delta_male_recover2"
23,3,0,1.00151423621913,1.00309243719481,NA,1.00286610437544,1.00219141315702,1.00241998350633,1.00489438233725,NA,1.00092694769029,1.00172831100783,1813.09155250295,1341.00803969759,NA,3659.90391598985,3328.03693212723,2102.59378327202,1604.37536763239,NA,1736.49041250955,2065.82775597333,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.24528342,0.4798538715,0.2,2.88272328,-2.83476904,2.104693545,0.5251725065,0.2,2.29321535,-2.234599145,2.1749,2.32434,0.46146,0.497953,0.2,0.2,2.74649,3.00878,-2.97942,-2.71281,2.04232,2.17396,0.50739,0.542299,0.2,0.2,2.15044,2.44484,-2.39077,-2.08991,1,1,NA,1,1,1,1,NA,1,1
42,5,0,1.00019073616415,1.00282301395561,NA,1.00192705966283,1.00188968436247,1.0064332109541,1.004933543389,NA,1.00223376257061,1.00166842998376,2281.04069728272,1741.62752305671,NA,2170.78366855135,1989.1886541213,1243.40749669284,1893.75671769515,NA,2230.53670915824,1994.15502219662,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.209864,0.479744791,0.2,2.9118915875,-2.681174345,2.1295864525,0.51584799475,0.2,2.2959938475,-2.408596025,2.13464,2.27498,0.462637,0.498357,0.2,0.2,2.75408,3.09801,-2.84833,-2.50581,2.04925,2.21382,0.497496,0.532937,0.2,0.2,2.14262,2.43597,-2.56716,-2.26684,1,1,NA,1,1,1,1,NA,1,1
3,1,0,1.00290185946513,1.00102378732448,NA,1.00249943365095,1.0007012545149,1.00121278012719,1.00218751944175,NA,1.00005360772802,1.00122876538065,2466.78538250377,2112.7611024631,NA,2916.35126630912,2750.71844056404,2327.40016862838,1960.93963236592,NA,2556.85874696884,2634.01164277322,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.17263219,0.48399483375,0.2,2.83025263,-2.649724735,2.1925044,0.4978819725,0.2,2.2939668075,-2.33257481,2.10808,2.23429,0.467775,0.500383,0.2,0.2,2.69266,2.9652,-2.79462,-2.51499,2.12609,2.25593,0.480182,0.515801,0.2,0.2,2.16145,2.43105,-2.47041,-2.19916,1,1,NA,1,1,1,1,NA,1,1
33,4,0,1.00507234463597,1.00139137411953,NA,1.00282742724219,1.00116393608763,1.00288921311817,1.00385913261661,NA,1.00296492800108,1.00477798131783,1748.91830640559,1828.53996417612,NA,2998.48616515622,2590.06847085103,1739.03572322616,1620.36206657605,NA,1704.10334783889,1366.41139189877,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2194677325,0.5012067945,0.2,2.8938306975,-2.8916775075,2.1496260525,0.52423707725,0.2,2.39035171,-2.34947617,2.1501,2.29834,0.48347,0.519494,0.2,0.2,2.74466,3.04782,-3.04888,-2.74058,2.07602,2.22271,0.506032,0.541888,0.2,0.2,2.23681,2.54894,-2.50409,-2.18613,1,1,NA,1,1,1,1,NA,1,1
14,2,0,1.00404495904415,1.00111937936519,NA,0.999826122567608,1.00499479358311,1.01195335465461,1.00251594380877,NA,1.00183318886108,1.0025578130697,1509.01801247583,1958.7349634983,NA,2294.04905645657,1643.5969282641,1052.8984101791,1414.70094390597,NA,2009.81997514521,2055.92145593203,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2219452025,0.475834906,0.2,2.9835780475,-2.7246548425,2.2137183475,0.51729644325,0.2,2.51129918,-2.3494335925,2.14435,2.30271,0.460732,0.490137,0.2,0.2,2.81544,3.14754,-2.89,-2.5568,2.12838,2.29267,0.497455,0.536885,0.2,0.2,2.36675,2.66427,-2.49394,-2.20218,1,1,NA,1,1,1,1,NA,0,1
24,3,0,1.00337032362547,1.00288343371389,NA,1.00583923103131,0.999900701830277,1.00381366270631,1.00306885388503,NA,1.00040441605228,1.00109224559468,1788.65516700728,1942.43271724516,NA,4274.98154824595,3729.09856026636,1628.31918731166,1572.29978999308,NA,2290.38004174782,2312.8566092082,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2236471,0.48543181325,0.2,3.0510344725,-2.7723137175,2.1494247975,0.52469265475,0.2,2.27599901,-2.3649437975,2.14587,2.3035,0.467899,0.50185,0.2,0.2,2.90857,3.18232,-2.89873,-2.64029,2.07218,2.22329,0.502988,0.544178,0.2,0.2,2.12462,2.43939,-2.521,-2.20221,1,1,NA,1,1,1,1,NA,1,1
43,5,0,1.00428133560698,1.0051994845152,NA,1.00032494929623,1.00258668218147,1.00160215532782,1.00241835465933,NA,1.00156210038866,1.00305350491204,1909.86411799054,2213.81319697511,NA,2509.64227839992,2334.00172839419,2264.24522363412,2357.16619659178,NA,2439.17924239749,2051.43286125392,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2078638625,0.48604490775,0.2,2.90863118,-2.75843724,2.0683159125,0.513469909,0.2,2.34601778,-2.234126545,2.13329,2.29188,0.46882,0.501517,0.2,0.2,2.74001,3.07657,-2.92008,-2.58017,2.00836,2.12935,0.497615,0.530587,0.2,0.2,2.20157,2.48654,-2.37499,-2.0964,1,1,NA,1,1,0,1,NA,1,1
34,4,0,1.00682926751838,1.00509740220238,NA,1.00268901101515,1.00100808947508,1.00081070347177,1.00070207466098,NA,1.00111173373922,1.00073233924276,2458.70448195098,1627.89968565604,NA,2244.64683265274,2451.28153964942,2260.25308036119,2283.69146496628,NA,2154.42229745046,2074.12798104697,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2205854375,0.48436466575,0.2,2.9308785375,-2.8263082575,2.1646826725,0.50661871175,0.2,2.30876159,-2.355067785,2.15478,2.28514,0.466314,0.502555,0.2,0.2,2.77588,3.10194,-2.98793,-2.66892,2.10177,2.22289,0.489476,0.521065,0.2,0.2,2.17705,2.45826,-2.4948,-2.21193,1,1,NA,1,1,1,1,NA,1,1
4,1,0,1.00412196617212,1.00072357397607,NA,1.00126471444979,1.00108558835399,1.0016383291746,1.00198621883469,NA,1.00257524167978,1.00169451041075,1831.22430822491,2632.50086985534,NA,3603.02875708969,2803.94533429824,1801.65261082863,2070.78278923442,NA,2222.93109569085,2424.30488738469,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.220889885,0.463696244,0.2,2.94700199,-2.686586965,2.14878404,0.51178253825,0.2,2.382242915,-2.39836451,2.14064,2.3025,0.447233,0.479096,0.2,0.2,2.80085,3.09434,-2.83454,-2.54089,2.07407,2.2198,0.494015,0.529868,0.2,0.2,2.23723,2.52866,-2.54977,-2.25858,1,0,NA,1,1,1,1,NA,1,1
15,2,0,1.00203789963499,1.00880221461833,NA,1.00180303814894,1.00038619331776,1.00212739342342,1.00127288279372,NA,1.00154495039561,1.00027499278668,2243.72730247431,1088.86978108107,NA,3956.17870924063,3881.05029398989,2639.68430544906,2127.93307741094,NA,1863.38191190555,1749.13070541941,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2625728275,0.4820319025,0.2,2.92932916,-2.6678194475,2.1618665675,0.504134735,0.2,2.3007673325,-2.3513036,2.1883,2.33155,0.460936,0.500994,0.2,0.2,2.79175,3.05463,-2.79986,-2.53067,2.10063,2.22175,0.48605,0.520917,0.2,0.2,2.12811,2.46413,-2.49744,-2.18204,1,1,NA,1,1,1,1,NA,1,1
25,3,0,1.00418365849507,1.00304933448458,NA,1.00134685741418,1.00166855251676,1.00232831180277,1.00134030142143,NA,1.00225165424512,1.00137985916702,1496.10105064532,1559.58603448192,NA,2520.0385690004,2234.95088413758,2137.86931488746,1932.37745263622,NA,2567.32060485846,2583.7538404977,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.16963498,0.47514984225,0.2,2.9911816275,-2.75495222,2.126725185,0.51487414125,0.2,2.375188765,-2.2583732875,2.09255,2.25553,0.455862,0.492279,0.2,0.2,2.82958,3.15635,-2.9227,-2.58643,2.06417,2.19266,0.497338,0.531044,0.2,0.2,2.24226,2.50992,-2.39445,-2.13178,1,1,NA,1,1,1,1,NA,1,1
44,5,0,1.00166240445119,1.00407618175439,NA,1.00184937988396,1.00176015703686,1.00148590730268,1.00407300001208,NA,1.00074566116122,1.002051681732,1990.31891467848,2209.50035214107,NA,3050.89163911711,2890.17316998856,1542.11941508814,1363.99643303397,NA,2000.20139368074,1689.92071990658,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.207100735,0.48386537125,0.2,2.9618498525,-2.736654705,2.1716937225,0.517800609,0.2,2.296397025,-2.3135555375,2.13587,2.27809,0.469111,0.500697,0.2,0.2,2.81536,3.11819,-2.89497,-2.59621,2.09632,2.24711,0.497632,0.537277,0.2,0.2,2.13025,2.45139,-2.47827,-2.1585,1,1,NA,1,1,1,1,NA,1,1
35,4,0,1.00505806233483,1.0005532983903,NA,1.00291368137489,1.00147177791296,1.00234911139703,1.0054455408156,NA,1.00268979617263,1.00520530850548,1627.83121962894,2086.47510221088,NA,2852.37941411462,3180.12999058335,2059.86864006437,1457.52329532513,NA,1634.43338219495,1617.47262388517,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2072840275,0.484244811,0.2,2.8114947775,-2.7605278625,2.1682971775,0.5081242005,0.2,2.4008767575,-2.33258829,2.13007,2.28165,0.46818,0.501055,0.2,0.2,2.68057,2.96544,-2.90059,-2.61788,2.09607,2.23765,0.486194,0.527454,0.2,0.2,2.22231,2.56967,-2.49861,-2.15102,1,1,NA,1,1,1,1,NA,1,1
16,2,0,1.00156473908441,1.00417682745079,NA,1.00031800580454,1.00401374285334,1.00159021468411,1.00046357333102,NA,1.00095519740585,1.00132523911493,2255.10689586109,1255.79311687423,NA,2588.49198954766,2270.88485118087,2412.82846587899,2134.41994922963,NA,1583.08980501778,1300.89658434099,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.22612303,0.488292476,0.2,2.94133461,-2.751438915,2.168571815,0.52382939,0.2,2.3810280975,-2.3123078,2.15681,2.29181,0.468681,0.509782,0.2,0.2,2.78257,3.09324,-2.90074,-2.59597,2.10907,2.23093,0.507021,0.539322,0.2,0.2,2.2185,2.54196,-2.47306,-2.15749,1,1,NA,1,1,1,1,NA,1,1
5,1,0,1.00109370346687,1.00144226241562,NA,1.00082603853854,1.0016662128411,1.00482450822519,1.00122285842532,NA,1.00334549055069,1.00133015226599,2884.37053202533,2477.80057848757,NA,2435.38377650992,2481.02529712101,1887.33501821149,2173.33258718957,NA,2697.64063093736,2422.8430069739,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.2063463475,0.48654177125,0.2,2.9643623375,-2.781847705,2.15849654,0.5132914045,0.2,2.37317753,-2.33673895,2.1429,2.27399,0.470143,0.502656,0.2,0.2,2.80147,3.13037,-2.93021,-2.61262,2.08545,2.23659,0.495073,0.530176,0.2,0.2,2.22596,2.51676,-2.49187,-2.19739,1,1,NA,1,1,1,1,NA,1,1
26,3,0,1.00318093500551,1.00031659453148,NA,1.00037050530021,1.00178308535427,1.00221036448922,1.00132794624539,NA,1.0004466167569,1.00107065695154,2399.30069016098,1541.57327325249,NA,3142.9488464197,2463.2627446759,1765.17691697913,2518.52175120668,NA,2056.11748169629,2191.95691362221,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.21018885,0.475550866,0.2,3.128813855,-2.7171328825,2.1143979175,0.50236403475,0.2,2.27612748,-2.31247324,2.14577,2.281,0.456567,0.494227,0.2,0.2,2.97494,3.28035,-2.8792,-2.55972,2.04641,2.18525,0.48691,0.519437,0.2,0.2,2.12281,2.4291,-2.45614,-2.1616,1,1,NA,0,1,1,1,NA,1,1
45,5,0,1.00227743362537,1.00184710160942,NA,1.00148006649766,1.00321023521129,1.00353259575391,1.00174111760556,NA,1.00090989115276,1.00309998057961,2293.69118325683,1891.12501701221,NA,2687.64191590069,2478.99424197869,2328.73033165349,1701.93056531473,NA,2014.90809729332,1806.43636892773,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.235788405,0.47641860875,0.2,2.95760738,-2.770361475,2.1157925475,0.50267607525,0.2,2.4256749725,-2.25461827,2.16743,2.30343,0.460798,0.49392,0.2,0.2,2.80493,3.10534,-2.9246,-2.62151,2.05118,2.17571,0.482805,0.521139,0.2,0.2,2.26931,2.588,-2.41311,-2.09748,1,1,NA,1,1,1,1,NA,1,1
36,4,0,1.00127833992953,1.00481154825331,NA,0.999843263589185,1.00090674808246,1.00287852246591,1.00392810476199,NA,1.00511151561648,1.00250653526549,3244.87552359291,2171.74812359981,NA,3198.68001650915,2815.75596291976,2547.79748382606,1734.69617185105,NA,1624.43640616658,1969.53908187998,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.23777668,0.4901100625,0.2,2.8798887375,-2.8092860825,2.1564587375,0.520270191,0.2,2.4065167425,-2.3706325875,2.17434,2.29695,0.471571,0.505893,0.2,0.2,2.72551,3.02153,-2.95212,-2.66126,2.08611,2.22004,0.500987,0.539913,0.2,0.2,2.24492,2.56278,-2.52508,-2.21267,1,1,NA,1,1,1,1,NA,1,1
17,2,0,0.999323660714883,1.00049772747707,NA,1.00156355189341,1.00252775429443,1.00117393663787,1.00153675301156,NA,1.00178013186907,1.00131269089351,2541.15324819379,2720.27562998009,NA,3574.50653796456,3025.67556894465,2192.10081033884,2011.48709557041,NA,2569.44457750641,2370.99419870164,2.22257544062698,0.484911854544825,0.2,2.94652222022962,-2.76358672323551,2.13740083331808,0.513256239652682,0.2,2.3288499334193,-2.31538445351436,2.1857257075,0.4769215185,0.2,2.9132086525,-2.689329635,2.142275755,0.50595647125,0.2,2.32847686,-2.2293750625,2.11909,2.25082,0.46183,0.492757,0.2,0.2,2.76251,3.04301,-2.82888,-2.53963,2.07324,2.21276,0.488006,0.524717,0.2,0.2,2.18226,2.47417,-2.36325,-2.08132,1,1,NA,1,1,1,1,NA,1,1
