"SubjID","Group","Jitter","censored","Resp","n_trials","q1","q3","q5","q7","q9","GroupName","RespName","DirectionName","CensorName","Accuracy"
4,1,1.07439891367436,1,1,14,0.0010004,0.001112,0.0011935,0.0012646,0.0014411,"Control","Right","Right","NotCensored",1
4,1,1.07439891367436,1,2,6,0.000885,0.001021,0.0011095,0.001226,0.001305,"Control","Left","Right","NotCensored",0
4,1,1.91004251319886,1,1,11,0.000981,0.001005,0.001188,0.001445,0.0016,"Control","Right","Right","NotCensored",1
4,1,1.91004251319886,1,2,8,0.0006065,0.0010339,0.001171,0.0012757,0.001497,"Control","Left","Right","NotCensored",0
5,1,-0.358132971224787,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
5,1,0.835643599524503,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
5,1,1.07439891367436,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
5,1,-1.91004251319886,1,1,12,0.0007907,0.0010606,0.001169,0.0012354,0.0013717,"Control","Right","Left","NotCensored",0
5,1,-1.91004251319886,1,2,8,0.0010505,0.0011421,0.0012375,0.0013644,0.0015451,"Control","Left","Left","NotCensored",1
5,1,-1.07439891367436,1,1,11,0.000802,0.000986,0.001269,0.00132,0.001475,"Control","Right","Left","NotCensored",0
5,1,-1.07439891367436,1,2,9,0.000824,0.0009212,0.001015,0.001134,0.0012892,"Control","Left","Left","NotCensored",1
5,1,-0.835643599524503,1,1,8,0.0010247,0.0011557,0.001233,0.0013094,0.0014371,"Control","Right","Left","NotCensored",0
5,1,-0.835643599524503,1,2,12,0.000943,0.0009894,0.001145,0.0012529,0.0016091,"Control","Left","Left","NotCensored",1
5,1,-0.596888285374645,1,1,10,0.0011209,0.0011959,0.001286,0.0013911,0.0014599,"Control","Right","Left","NotCensored",0
5,1,-0.596888285374645,1,2,10,0.001113,0.0012851,0.001386,0.001456,0.0016761,"Control","Left","Left","NotCensored",1
5,1,-0.358132971224787,1,1,8,0.001067,0.0012885,0.0014575,0.001505,0.0016498,"Control","Right","Left","NotCensored",0
5,1,-0.358132971224787,1,2,11,0.000884,0.000921,0.000976,0.001072,0.001104,"Control","Left","Left","NotCensored",1
5,1,-0.119377657074929,1,1,10,0.0010267,0.0011139,0.0011635,0.0014124,0.0015242,"Control","Right","Left","NotCensored",0
5,1,-0.119377657074929,1,2,10,0.0007551,0.0008851,0.0009125,0.0013184,0.001627,"Control","Left","Left","NotCensored",1
5,1,0.119377657074929,1,1,8,0.0006579,0.0008703,0.0011045,0.0012298,0.0012978,"Control","Right","Right","NotCensored",1
5,1,0.119377657074929,1,2,12,0.000944,0.0010799,0.001223,0.0012415,0.0014214,"Control","Left","Right","NotCensored",0
5,1,0.358132971224787,1,1,12,0.0009832,0.001073,0.001181,0.0014817,0.0015667,"Control","Right","Right","NotCensored",1
5,1,0.358132971224787,1,2,8,0.0007252,0.000915,0.001013,0.0011632,0.0013272,"Control","Left","Right","NotCensored",0
5,1,0.596888285374645,1,1,11,0.001048,0.001139,0.001233,0.001473,0.001833,"Control","Right","Right","NotCensored",1
5,1,0.596888285374645,1,2,9,0.0009972,0.0010394,0.001057,0.0012112,0.0015162,"Control","Left","Right","NotCensored",0
5,1,0.835643599524503,1,1,8,0.0008811,0.0010396,0.0011565,0.001241,0.001462,"Control","Right","Right","NotCensored",1
5,1,0.835643599524503,1,2,10,0.0010695,0.001186,0.001295,0.0014533,0.0015923,"Control","Left","Right","NotCensored",0
5,1,1.07439891367436,1,1,12,0.0010134,0.0010664,0.001285,0.0013873,0.0014048,"Control","Right","Right","NotCensored",1
5,1,1.07439891367436,1,2,7,0.0008168,0.0009104,0.00094,0.0010588,0.0012396,"Control","Left","Right","NotCensored",0
5,1,1.91004251319886,1,1,11,0.000977,0.001135,0.001237,0.001471,0.001602,"Control","Right","Right","NotCensored",1
5,1,1.91004251319886,1,2,9,0.0008426,0.0009942,0.001089,0.0014222,0.0017026,"Control","Left","Right","NotCensored",0
6,1,-1.91004251319886,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
6,1,-1.07439891367436,0,NA,6,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
6,1,-0.835643599524503,0,NA,4,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
6,1,-0.596888285374645,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
6,1,-0.358132971224787,0,NA,4,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
6,1,-0.119377657074929,0,NA,5,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
6,1,0.119377657074929,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
6,1,0.358132971224787,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
6,1,0.596888285374645,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
6,1,0.835643599524503,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
6,1,1.07439891367436,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
6,1,1.91004251319886,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
6,1,-1.91004251319886,1,1,8,0.0014551,0.0016353,0.0016925,0.0017722,0.0017891,"Control","Right","Left","NotCensored",0
6,1,-1.91004251319886,1,2,11,0.001254,0.00138,0.001506,0.001604,0.001914,"Control","Left","Left","NotCensored",1
6,1,-1.07439891367436,1,1,6,0.001518,0.001548,0.0016085,0.001682,0.0017835,"Control","Right","Left","NotCensored",0
6,1,-1.07439891367436,1,2,8,0.0012357,0.0013579,0.001454,0.0015213,0.0016393,"Control","Left","Left","NotCensored",1
6,1,-0.835643599524503,1,1,8,0.001337,0.0016886,0.0017515,0.001764,0.0018233,"Control","Right","Left","NotCensored",0
6,1,-0.835643599524503,1,2,8,0.0013198,0.0013936,0.001586,0.0016632,0.0019109,"Control","Left","Left","NotCensored",1
6,1,-0.596888285374645,1,1,8,0.0015518,0.0016432,0.0016895,0.0017601,0.0018257,"Control","Right","Left","NotCensored",0
6,1,-0.596888285374645,1,2,10,0.0012209,0.0013652,0.001474,0.0015741,0.0017411,"Control","Left","Left","NotCensored",1
6,1,-0.358132971224787,1,1,10,0.0013812,0.0014629,0.001526,0.0015635,0.0017205,"Control","Right","Left","NotCensored",0
6,1,-0.358132971224787,1,2,6,0.0014625,0.001695,0.0018105,0.001836,0.001892,"Control","Left","Left","NotCensored",1
6,1,-0.119377657074929,1,1,9,0.0015654,0.001614,0.001661,0.0017546,0.0018626,"Control","Right","Left","NotCensored",0
6,1,-0.119377657074929,1,2,6,0.0013245,0.0013365,0.001448,0.00163,0.0017775,"Control","Left","Left","NotCensored",1
6,1,0.119377657074929,1,1,9,0.0012808,0.0014658,0.001568,0.0017288,0.001874,"Control","Right","Right","NotCensored",1
6,1,0.119377657074929,1,2,9,0.0013536,0.0014906,0.001508,0.0017856,0.0018056,"Control","Left","Right","NotCensored",0
6,1,0.358132971224787,1,1,8,0.0013709,0.0014177,0.001461,0.0015358,0.0015698,"Control","Right","Right","NotCensored",1
6,1,0.358132971224787,1,2,10,0.0010004,0.0012771,0.0015645,0.0016476,0.0017902,"Control","Left","Right","NotCensored",0
6,1,0.596888285374645,1,1,10,0.0010637,0.0012645,0.0015855,0.0017291,0.0018809,"Control","Right","Right","NotCensored",1
6,1,0.596888285374645,1,2,8,0.0014306,0.0015502,0.0017525,0.0017838,0.0018274,"Control","Left","Right","NotCensored",0
6,1,0.835643599524503,1,1,13,0.0014072,0.0015216,0.001599,0.0017912,0.001826,"Control","Right","Right","NotCensored",1
6,1,0.835643599524503,1,2,6,0.001427,0.00156,0.001706,0.001791,0.0018665,"Control","Left","Right","NotCensored",0
6,1,1.07439891367436,1,1,16,0.001346,0.0015315,0.0015445,0.0017045,0.0018,"Control","Right","Right","NotCensored",1
6,1,1.07439891367436,1,2,3,0.0013188,0.0013524,0.001386,0.0014364,0.0014868,"Control","Left","Right","NotCensored",0
6,1,1.91004251319886,1,1,15,0.0014154,0.001503,0.001558,0.001656,0.0018556,"Control","Right","Right","NotCensored",1
6,1,1.91004251319886,1,2,4,0.0012482,0.0012986,0.001434,0.0016,0.001834,"Control","Left","Right","NotCensored",0
7,1,-1.07439891367436,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
7,1,-0.835643599524503,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
7,1,-0.596888285374645,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
7,1,-0.358132971224787,0,NA,4,NA,NA,NA,NA,NA,"Control",NA,"Left","Censored",NA
7,1,0.119377657074929,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
7,1,0.358132971224787,0,NA,3,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
7,1,0.596888285374645,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
7,1,0.835643599524503,0,NA,2,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
7,1,-1.91004251319886,1,1,1,0.001413,0.001413,0.001413,0.001413,0.001413,"Control","Right","Left","NotCensored",0
7,1,-1.91004251319886,1,2,19,0.0008054,0.0010778,0.001342,0.0015158,0.0016428,"Control","Left","Left","NotCensored",1
7,1,-1.07439891367436,1,1,4,0.0013977,0.0014031,0.001483,0.0015647,0.0015809,"Control","Right","Left","NotCensored",0
7,1,-1.07439891367436,1,2,15,0.0007718,0.0010506,0.001207,0.0013694,0.00146,"Control","Left","Left","NotCensored",1
7,1,-0.835643599524503,1,1,1,0.001642,0.001642,0.001642,0.001642,0.001642,"Control","Right","Left","NotCensored",0
7,1,-0.835643599524503,1,2,18,0.0009396,0.0010602,0.0012065,0.0013692,0.0017587,"Control","Left","Left","NotCensored",1
7,1,-0.596888285374645,1,1,5,0.0014988,0.0015772,0.001634,0.0016724,0.0017438,"Control","Right","Left","NotCensored",0
7,1,-0.596888285374645,1,2,14,0.0009813,0.0010997,0.00123,0.0014691,0.0016471,"Control","Left","Left","NotCensored",1
7,1,-0.358132971224787,1,1,6,0.0012935,0.0014955,0.0015875,0.0016975,0.0018125,"Control","Right","Left","NotCensored",0
7,1,-0.358132971224787,1,2,10,0.0010582,0.0011575,0.0012825,0.001352,0.0016145,"Control","Left","Left","NotCensored",1
7,1,-0.119377657074929,1,1,10,0.0012934,0.0014354,0.001524,0.0016526,0.0017624,"Control","Right","Left","NotCensored",0
