"SubjID","Group","Resp","SignalStrength","n_trials","q1","q3","q5","q7","q9","GroupName","RespName"
8,1,2,0.773809762908943,9,0.7468,0.877,0.921,1.0022,1.093,"Control","NotLookingAtMe"
8,1,1,1.16071464436341,9,0.6966,0.7566,0.805,0.9588,1.1592,"Control","LookingAtMe"
8,1,2,1.16071464436341,3,0.7982,0.8626,0.927,1.0074,1.0878,"Control","NotLookingAtMe"
8,1,1,1.54761952581789,12,0.6786,0.7483,0.775,0.8147,0.9996,"Control","LookingAtMe"
8,1,2,1.54761952581789,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
9,1,2,-1.54761952581789,12,0.615,0.7071,0.7705,0.9421,1.047,"Control","NotLookingAtMe"
9,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
9,1,2,-1.16071464436341,12,0.553,0.6099,0.7015,0.7498,0.9091,"Control","NotLookingAtMe"
9,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
9,1,2,-0.773809762908943,12,0.5703,0.607,0.643,0.706,0.7514,"Control","NotLookingAtMe"
9,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
9,1,2,-0.386904881454471,12,0.5992,0.6923,0.7415,0.8022,0.9687,"Control","NotLookingAtMe"
9,1,1,-0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
9,1,2,0,12,0.6425,0.7535,0.8565,0.9148,0.9287,"Control","NotLookingAtMe"
9,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
9,1,2,0.386904881454471,12,0.7201,0.811,0.8365,0.8729,1.0622,"Control","NotLookingAtMe"
9,1,1,0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
9,1,2,0.773809762908943,12,0.8651,0.9475,1.042,1.1371,1.2115,"Control","NotLookingAtMe"
9,1,1,0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
9,1,1,1.16071464436341,8,0.8609,0.9263,0.9935,1.0418,1.1234,"Control","LookingAtMe"
9,1,2,1.16071464436341,4,1.0182,1.0446,1.0675,1.0879,1.0993,"Control","NotLookingAtMe"
9,1,1,1.54761952581789,12,0.8125,0.8281,0.8865,1.01,1.0993,"Control","LookingAtMe"
9,1,2,1.54761952581789,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
10,1,2,-1.54761952581789,12,0.6047,0.6783,0.7055,0.806,0.9836,"Control","NotLookingAtMe"
10,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
10,1,2,-1.16071464436341,12,0.6265,0.6401,0.662,0.7008,0.7906,"Control","NotLookingAtMe"
10,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
